DrawNumber,DrawDate,P1,P2,P3,P4,P5,P6,S1,S2
3941,2019-04-27T00:00:00,41,39,1,26,16,21,2,6
3943,2019-05-04T00:00:00,23,8,27,7,33,24,41,15
3945,2019-05-11T00:00:00,27,32,44,28,34,17,22,8
3947,2019-05-18T00:00:00,8,45,6,2,39,36,5,13
3949,2019-05-25T00:00:00,1,11,35,44,29,18,28,38
3951,2019-06-01T00:00:00,25,20,6,9,27,31,36,2
3953,2019-06-08T00:00:00,22,24,42,36,39,1,41,12
3955,2019-06-15T00:00:00,24,42,8,41,18,39,5,16
3957,2019-06-22T00:00:00,41,5,10,11,12,29,13,21
3959,2019-06-29T00:00:00,5,21,14,35,42,33,40,7
3961,2019-07-06T00:00:00,30,23,15,44,18,41,1,5
3963,2019-07-13T00:00:00,16,5,18,41,22,36,1,7
3965,2019-07-20T00:00:00,42,12,2,18,8,30,39,14
3967,2019-07-27T00:00:00,35,13,11,23,27,38,8,5
3969,2019-08-03T00:00:00,44,28,32,3,5,38,25,27
3971,2019-08-10T00:00:00,39,9,6,37,1,38,11,45
3973,2019-08-17T00:00:00,19,23,35,6,28,24,38,29
3975,2019-08-24T00:00:00,33,9,10,4,32,11,29,23
3977,2019-08-31T00:00:00,36,41,15,17,14,7,24,20
3979,2019-09-07T00:00:00,10,36,14,8,1,23,7,15
3981,2019-09-14T00:00:00,27,39,7,41,38,20,9,43
3983,2019-09-21T00:00:00,40,14,32,33,43,29,24,12
3985,2019-09-28T00:00:00,41,20,11,22,18,4,44,12
3987,2019-10-05T00:00:00,34,33,20,36,12,4,10,23
3989,2019-10-12T00:00:00,6,33,16,27,17,8,26,28
3991,2019-10-19T00:00:00,18,26,43,21,39,41,35,33
3993,2019-10-26T00:00:00,31,28,7,45,29,2,6,38
3995,2019-11-02T00:00:00,12,21,10,2,1,42,13,40
3997,2019-11-09T00:00:00,28,1,25,36,27,10,14,18
3999,2019-11-16T00:00:00,22,11,32,31,28,34,14,21
4001,2019-11-23T00:00:00,14,45,37,7,30,25,6,34
4003,2019-11-30T00:00:00,10,30,16,22,38,20,42,14
4005,2019-12-07T00:00:00,16,30,1,13,25,32,17,22
4007,2019-12-14T00:00:00,39,31,40,34,9,1,17,37
4009,2019-12-21T00:00:00,18,28,23,30,37,35,33,4
4011,2019-12-28T00:00:00,39,13,19,1,37,31,5,33
4013,2020-01-04T00:00:00,40,42,16,38,11,33,45,12
4015,2020-01-11T00:00:00,37,17,18,41,11,20,15,36
4017,2020-01-18T00:00:00,35,10,34,3,24,12,40,38
4019,2020-01-25T00:00:00,24,19,17,10,36,38,22,40
4021,2020-02-01T00:00:00,33,24,17,1,10,29,26,5
4023,2020-02-08T00:00:00,17,19,44,24,36,38,2,39
4025,2020-02-15T00:00:00,4,24,21,3,11,39,40,34
4027,2020-02-22T00:00:00,11,29,23,8,16,15,25,7
4029,2020-02-29T00:00:00,12,29,3,30,38,31,22,45
4031,2020-03-07T00:00:00,7,33,34,40,28,3,38,1
4033,2020-03-14T00:00:00,27,42,41,13,8,40,3,4
4035,2020-03-21T00:00:00,10,27,19,33,31,26,9,43
4037,2020-03-28T00:00:00,7,43,37,10,3,16,23,20
4039,2020-04-04T00:00:00,33,36,11,39,19,22,7,18
4041,2020-04-11T00:00:00,11,10,14,26,5,27,35,37
4043,2020-04-18T00:00:00,24,39,40,29,41,23,5,37
4045,2020-04-25T00:00:00,17,15,34,23,38,3,31,18
4047,2020-05-02T00:00:00,10,18,16,43,14,31,4,35
4049,2020-05-09T00:00:00,35,39,38,22,21,7,34,44
4051,2020-05-16T00:00:00,17,26,16,11,4,19,15,25
4053,2020-05-23T00:00:00,30,45,1,21,32,25,31,38
4055,2020-05-30T00:00:00,19,3,25,22,44,15,42,1
4057,2020-06-06T00:00:00,3,22,18,27,19,10,42,41
4059,2020-06-13T00:00:00,17,3,29,32,34,38,28,12
4061,2020-06-20T00:00:00,22,17,19,29,9,11,14,21
4063,2020-06-27T00:00:00,28,41,19,35,15,24,23,30
4065,2020-07-04T00:00:00,33,31,42,17,39,35,36,41
4067,2020-07-11T00:00:00,38,22,27,26,32,29,30,42
4069,2020-07-18T00:00:00,35,21,2,43,18,22,10,37
4071,2020-07-25T00:00:00,37,44,32,9,16,6,11,12
4073,2020-08-01T00:00:00,8,23,42,9,38,29,13,17
4075,2020-08-08T00:00:00,11,18,1,17,42,34,19,43
4077,2020-08-15T00:00:00,16,34,41,35,29,13,45,12
4079,2020-08-22T00:00:00,43,2,16,9,7,33,20,34
4081,2020-08-29T00:00:00,16,13,25,44,40,20,4,28
4083,2020-09-05T00:00:00,38,13,2,32,3,37,36,29
4085,2020-09-12T00:00:00,31,28,12,39,36,27,6,24
4087,2020-09-19T00:00:00,1,41,26,23,14,8,33,12
4089,2020-09-26T00:00:00,28,7,36,1,42,22,14,11
4091,2020-10-03T00:00:00,29,21,11,3,24,38,40,36
4093,2020-10-10T00:00:00,34,12,37,24,5,26,3,2
4095,2020-10-17T00:00:00,14,12,8,38,5,16,3,17
4097,2020-10-24T00:00:00,31,38,3,30,23,45,19,40
4099,2020-10-31T00:00:00,19,4,26,27,34,13,6,15
4101,2020-11-07T00:00:00,35,1,3,15,7,8,10,5
4103,2020-11-14T00:00:00,27,23,45,6,15,26,2,29
4105,2020-11-21T00:00:00,2,37,39,21,42,27,7,11
4107,2020-11-28T00:00:00,20,10,35,34,18,37,41,7
4109,2020-12-05T00:00:00,11,32,41,1,9,24,15,38
4111,2020-12-12T00:00:00,40,35,38,16,14,43,33,1
4113,2020-12-19T00:00:00,16,35,9,39,41,26,33,13
4115,2020-12-26T00:00:00,21,2,32,30,11,5,25,42
4117,2021-01-02T00:00:00,7,5,16,44,14,17,26,31
4119,2021-01-09T00:00:00,9,22,34,20,7,45,12,10
4121,2021-01-16T00:00:00,17,12,22,4,14,33,25,28
4123,2021-01-23T00:00:00,6,8,40,10,29,1,31,42
4125,2021-01-30T00:00:00,20,3,31,30,15,6,2,26
4127,2021-02-06T00:00:00,3,10,12,6,8,24,36,45
4129,2021-02-13T00:00:00,43,22,1,4,3,42,24,25
